FeatureName,CallAmount,PerCapitaCalls
University District,4609,0.5839652760543143
Heart of Missoula,20343,6.963303686672469
Rose Park,7598,1.4928858860332694
Riverfront,6777,2.401883290253731
Southgate Triangle,7455,2.4395503161173444
Farviews / Pattee Canyon,1479,0.46343147209377716
Lewis & Clark,4073,1.2861317196582054
Westside,22683,4.07102086581753
Franklin to the Fort,13511,1.8250378079271354
Lower Rattlesnake,1384,0.7305101798852351
River Road,5944,1.7558856080730487
Northside,5581,1.8863534273774436
Upper Rattlesnake,1471,0.3706264625485003
Grant Creek,6775,1.6242168642380244
Two Rivers,6845,4.518185646080167
Orchard Homes,2934,0.6514515718899299
Miller Creek,2078,0.38838073496617875
Marshall Canyon,4573,1.1894770312051366
Captain John Mullan,11073,1.7537079145117223
South 39th Street,2698,0.9883208221988241
Moose Can Gully,2390,0.5115305120637862
